date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:26:02	34870/34870	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Jan%202024%2004:05:29%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/images/g1.jpg	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/images/g1.jpg	(from https://www.obrasoft.com/test/ssmpoly/convertion/)
21:26:03	32557/32557	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Jan%202024%2004:05:29%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/images/g2.jpg	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/images/g2.jpg	(from https://www.obrasoft.com/test/ssmpoly/convertion/)
21:26:03	19787/19787	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Jan%202024%2004:05:29%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/images/g3.jpg	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/images/g3.jpg	(from https://www.obrasoft.com/test/ssmpoly/convertion/)
21:26:03	27026/27026	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Jan%202024%2004:05:29%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/images/g4.jpg	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/images/g4.jpg	(from https://www.obrasoft.com/test/ssmpoly/convertion/)
21:26:03	29312/29312	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Jan%202024%2004:05:30%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/images/g5.jpg	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/images/g5.jpg	(from https://www.obrasoft.com/test/ssmpoly/convertion/)
21:26:03	17096/17096	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Jan%202024%2004:05:30%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/images/g6.jpg	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/images/g6.jpg	(from https://www.obrasoft.com/test/ssmpoly/convertion/)
21:26:03	11367/11367	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Jan%202024%2004:05:29%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/images/footerlogo.png	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/images/footerlogo.png	(from https://www.obrasoft.com/test/ssmpoly/convertion/)
21:26:04	1135/1135	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Jan%202024%2004:05:29%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/images/fb.png	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/images/fb.png	(from https://www.obrasoft.com/test/ssmpoly/convertion/)
21:26:04	1290/1290	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Jan%202024%2004:05:32%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/images/tr.png	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/images/tr.png	(from https://www.obrasoft.com/test/ssmpoly/convertion/)
21:26:04	1388/1388	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Jan%202024%2004:05:31%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/images/in.png	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/images/in.png	(from https://www.obrasoft.com/test/ssmpoly/convertion/)
21:26:04	1220/1220	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Jan%202024%2004:05:33%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/images/yt.png	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/images/yt.png	(from https://www.obrasoft.com/test/ssmpoly/convertion/)
21:26:04	14244/14244	---M--	200	added ('OK')	application/javascript	date:Wed,%2003%20Jan%202024%2004:05:33%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/js/aos.js	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/js/aos.js	(from https://www.obrasoft.com/test/ssmpoly/convertion/)
21:26:05	257214/257214	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2003%20Jan%202024%2004:05:25%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/fonts/Poppins-Regular.eot?	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/fonts/Poppins-Regulard41d.eot	(from https://www.obrasoft.com/test/ssmpoly/convertion/css/fonts.css)
21:26:06	120820/120820	---M--	200	added ('OK')	font/woff	date:Wed,%2003%20Jan%202024%2004:05:26%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/fonts/Poppins-Regular.woff	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/fonts/Poppins-Regular.woff	(from https://www.obrasoft.com/test/ssmpoly/convertion/css/fonts.css)
21:26:07	256920/256920	---M--	200	added ('OK')	font/ttf	date:Wed,%2003%20Jan%202024%2004:05:25%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/fonts/Poppins-Regular.ttf	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/fonts/Poppins-Regular.ttf	(from https://www.obrasoft.com/test/ssmpoly/convertion/css/fonts.css)
